SubscriptionName,TotalSubscriptionsToDate,NewSubscriptionsToDate,NewSubscriptionsThisPeriod,DeletedSubscriptionsToDate,DeletedSubscriptionsThisPeriod,BulletinsSentThisPeriod,TotalBulletinsSentToDate
ACT e-newsletter,5924,8099,848,2151,229,0,15
Board meetings,6197,15203,560,8995,200,0,42
Business and industry news,36693,60121,2548,23345,673,0,246
Celery,5270,44074,1609,38731,212,0,5
Celery SMS,2634,11436,352,8788,114,0,10
Crustaceans,5340,6174,1608,758,213,0,6
Crustaceans SMS,972,7807,362,6822,106,0,10
Cylchlythyr Rheoleiddio ein Dyfodol (Cymraeg) / RoF newsletter in Welsh,802,995,722,171,131,2,4
Eggs,5525,6363,1664,763,219,3,20
Eggs SMS,1029,8051,386,7009,111,3,24
Enforcement and regulation news,37563,60056,3010,22394,733,1,240
England consultations,10079,26175,716,16083,266,1,36
Fish,5356,6194,1627,762,219,2,5
Fish SMS,963,7799,364,6823,111,3,10
Food alerts,5984,48935,486,42933,152,18,177
Food alerts by Email,62346,74224,5883,11668,1271,20,151
General news,35191,45580,3837,10256,854,8,192
Gluten,6129,7000,1703,789,223,6,38
Gluten SMS,1168,8167,383,6986,111,6,37
Help shape our policies,6422,9478,685,3038,218,4,64
Lupin,5296,6122,1608,754,212,0,1
Lupin SMS,941,7937,352,6983,107,0,2
Milk,5749,6601,1727,773,222,13,57
Milk SMS,1114,8009,420,6882,112,14,56
Molluscs,5300,6128,1607,753,212,0,2
Molluscs SMS,949,7774,352,6812,106,0,4
Mustard,5269,6098,1612,757,214,3,30
Mustard SMS,925,7745,353,6807,107,4,30
Newyddion yn Gymraeg / News in Welsh,5555,10850,703,5278,263,7,150
Northern Ireland consultations,6895,22514,526,15611,242,0,49
Northern Ireland news,7434,13409,782,5957,289,10,131
Nuts,5741,6592,1702,769,219,3,22
Nuts SMS,3990,17584,385,13582,125,3,19
Peanuts,5686,6535,1695,767,219,1,18
Peanuts SMS,1117,8042,390,6912,110,1,18
Regulating our Future newsletter,1499,1716,1028,183,133,2,3
Research reports,5175,6992,833,1787,182,0,13
Science and policy news,27978,55157,1232,27145,479,2,152
Sesame seeds,5358,6178,1619,747,211,1,10
Sesame Seeds SMS,1016,7944,356,6915,106,1,11
Soya,5437,6280,1657,762,214,4,24
Soya SMS,992,7842,381,6837,109,4,22
Sulphur dioxide (sulphites),5478,6312,1653,758,212,1,15
Sulphur dioxide (sulphites) SMS,970,7805,357,6822,108,1,17
UK-wide consultations,11467,27916,779,16429,284,0,17
Vacancies,16341,20070,799,3701,268,1,47
Wales consultations,6956,22621,544,15656,244,0,39
Wales news,7722,13873,802,6132,286,11,121
Ymgynghoriadau yn Gymraeg / Welsh language consultations,5993,14808,480,8811,245,3,20
